Municipality,individual_prod_num,individual_prod_autonomous,individual_prod_in_business,educ_cannot_read_write,educ_can_read_write,educ_basic_1st_cycle,educ_basic_2nd_cycle,educ_basic_3rd_cycle,educ_secondary_agr,educ_secondary_not_agr,educ_polyt_or_superior_agr,educ_polyt_or_superior_not_agr,prof_only_practical,prof_short,prof_long,prof_short_and_long,prof_complete,agr_time_partial,agr_time_full,ext_imp_principal,ext_imp_secondary,ext_sit_employer,ext_sit_self_employed,ext_sit_employed_by_others,ext_sit_in_family,pastures_area_munic,pastures_mean_size_munic,land_rented,econ_0_2,econ_2_4,econ_4_8,econ_8_16,econ_16_40,econ_40_100,econ_above_100
Fornos de Algodres,774.0,0.9702842377260982,0.029715762273901807,0.2235142118863049,0.16795865633074936,0.5064599483204134,0.03488372093023256,0.01808785529715762,0.0012919896640826874,0.020671834625323,0.002583979328165375,0.02454780361757106,0.975452196382429,0.00904392764857881,0.0103359173126615,0.0012919896640826874,0.003875968992248062,0.91343669250646,0.08656330749354005,0.24289405684754523,0.03229974160206718,0.06459948320413436,0.04392764857881137,0.1640826873385013,0.002583979328165375,752.0,2.9606299212598426,0.3755307855626327,0.6175710594315246,0.18604651162790697,0.12403100775193798,0.060723514211886306,0.011627906976744186,0.0,0.0
Gouveia,1530.0,0.9647058823529412,0.03529411764705882,0.1261437908496732,0.1934640522875817,0.5339869281045752,0.05032679738562092,0.023529411764705882,0.00130718954248366,0.02483660130718954,0.004575163398692811,0.04183006535947712,0.9588235294117647,0.023529411764705882,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.9281045751633987,0.0718954248366013,0.2758169934640523,0.00980392156862745,0.047058823529411764,0.08366013071895424,0.15294117647058825,0.00065359477124183,2455.0,10.446808510638302,0.4490006447453256,0.7411764705882353,0.11830065359477124,0.058823529411764705,0.05816993464052288,0.0196078431372549,0.00392156862745098,0.0
Seia,2447.0,0.9897834082550061,0.01021659174499387,0.13363302002451982,0.190028606456886,0.5582345729464651,0.047404985696771554,0.026971802206783815,0.0004086636697997548,0.016755210461789946,0.002451982018798529,0.024111156518185534,0.9758888434818145,0.012259910093992644,0.005721291377196567,0.0032693093583980384,0.0028606456885982836,0.951777686963629,0.04822231303637107,0.3220269718022068,0.009807928075194115,0.04372701266857376,0.08295872496935022,0.20187985288107888,0.0008173273395995096,1249.0,3.4598337950138505,0.3127161479116786,0.7736003269309358,0.10829587249693502,0.07560277891295464,0.031058438904781365,0.00939926440539436,0.002043318348998774,0.0
Almeida,1295.0,0.983011583011583,0.01698841698841699,0.16988416988416988,0.2023166023166023,0.5142857142857142,0.054826254826254826,0.02702702702702703,0.003088803088803089,0.009266409266409266,0.0023166023166023165,0.01698841698841699,0.972972972972973,0.0015444015444015444,0.011583011583011582,0.008494208494208495,0.005405405405405406,0.7397683397683398,0.2602316602316602,0.1783783783783784,0.0007722007722007722,0.023938223938223938,0.02857142857142857,0.12432432432432433,0.0,15868.0,14.584558823529413,0.20900468044567783,0.6270270270270271,0.14362934362934363,0.11428571428571428,0.05945945945945946,0.051737451737451735,0.003861003861003861,0.0
Celorico da Beira,1182.0,0.9813874788494078,0.018612521150592216,0.27749576988155666,0.13028764805414553,0.48646362098138746,0.03722504230118443,0.016074450084602367,0.0,0.01353637901861252,0.0025380710659898475,0.03637901861252115,0.937394247038917,0.049069373942470386,0.008460236886632826,0.0025380710659898475,0.0025380710659898475,0.7986463620981388,0.20135363790186125,0.233502538071066,0.01353637901861252,0.03637901861252115,0.046531302876480544,0.16159052453468697,0.0,4288.0,9.507760532150774,0.5486813583815029,0.6472081218274112,0.0922165820642978,0.12351945854483926,0.0922165820642978,0.04230118443316413,0.0025380710659898475,0.0
Figueira de Castelo Rodrigo,1701.0,0.9723691945914168,0.027630805408583186,0.15461493239271018,0.1540270429159318,0.5161669606114051,0.05408583186360964,0.042328042328042326,0.0023515579071134627,0.029982363315696647,0.003527336860670194,0.042915931804820694,0.9670781893004116,0.011169900058788948,0.011169900058788948,0.004703115814226925,0.005878894767783657,0.9265138154027043,0.07348618459729571,0.28865373309817755,0.014109347442680775,0.0205761316872428,0.07289829512051735,0.19047619047619047,0.0,12148.0,16.99020979020979,0.17304672505844995,0.5132275132275133,0.18871252204585537,0.11052322163433274,0.10582010582010581,0.0582010582010582,0.015285126396237508,0.0029394473838918285
Guarda,3163.0,0.987037622510275,0.012962377489724945,0.21498577300031615,0.18020866266202973,0.48087258931394244,0.04900411002213089,0.03351248814416693,0.001264622194119507,0.013910844135314574,0.00569079987353778,0.020550110654441987,0.9633259563705343,0.018020866266202973,0.00474233322794815,0.006955422067657287,0.006955422067657287,0.9190641795763516,0.08093582042364844,0.3414479924122668,0.010116977552956055,0.03351248814416693,0.058172620929497314,0.16629781852671516,0.0006323110970597534,12350.0,5.430958663148637,0.20098246802744135,0.6756244072083465,0.17198861840025292,0.08599430920012646,0.04521024343977237,0.019601644008852354,0.001264622194119507,0.0003161555485298767
Manteigas,190.0,0.9789473684210527,0.021052631578947368,0.14736842105263157,0.23684210526315788,0.531578947368421,0.03684210526315789,0.02631578947368421,0.0,0.010526315789473684,0.0,0.010526315789473684,0.9842105263157894,0.005263157894736842,0.0,0.010526315789473684,0.0,0.5052631578947369,0.49473684210526314,0.26842105263157895,0.0,0.021052631578947368,0.04736842105263158,0.2,0.0,768.0,11.636363636363635,0.09369202226345083,0.7684210526315789,0.12105263157894737,0.04736842105263158,0.04736842105263158,0.010526315789473684,0.005263157894736842,0.0
Meda,1851.0,0.9978390059427337,0.0021609940572663426,0.20583468395461912,0.157752566180443,0.5116153430578065,0.04213938411669368,0.02971366828741221,0.004321988114532685,0.017828200972447326,0.002701242571582928,0.028092922744462453,0.9762290653700703,0.010804970286331712,0.0037817396002160996,0.0021609940572663426,0.007023230686115613,0.9459751485683414,0.05402485143165856,0.31064289573203674,0.02377093462992977,0.015126958400864398,0.05186385737439222,0.2598595353862777,0.0,2335.0,4.316081330868761,0.11606429269159045,0.5569962182603998,0.24257158292814696,0.10750945434900054,0.06374932468935711,0.02485143165856294,0.0032414910858995136,0.0
Pinhel,3133.0,0.983721672518353,0.016278327481646985,0.2030003191828918,0.16246409192467284,0.5059048834982445,0.05936801787424194,0.027130545802744974,0.000957548675390999,0.015959144589849983,0.0012767315671879987,0.023938716884774978,0.9680817108203,0.018193424832428983,0.0035110118097669966,0.007979572294924991,0.0022342802425789976,0.9572294924992021,0.04277050750079796,0.30450047877433767,0.01947015639961698,0.035429300989466964,0.07085860197893393,0.21289498882859878,0.0,10177.0,4.976528117359413,0.13291936254288073,0.5084583466326205,0.25055857006064475,0.14810086179380785,0.06224066390041494,0.02776891158633897,0.0028726460261729973,0.0
