Municipality,individual_prod_num,individual_prod_autonomous,individual_prod_in_business,educ_cannot_read_write,educ_can_read_write,educ_basic_1st_cycle,educ_basic_2nd_cycle,educ_basic_3rd_cycle,educ_secondary_agr,educ_secondary_not_agr,educ_polyt_or_superior_agr,educ_polyt_or_superior_not_agr,prof_only_practical,prof_short,prof_long,prof_short_and_long,prof_complete,agr_time_partial,agr_time_full,ext_imp_principal,ext_imp_secondary,ext_sit_employer,ext_sit_self_employed,ext_sit_employed_by_others,ext_sit_in_family
Paredes,1175.0,0.9574468085106383,0.0425531914893617,0.10127659574468086,0.20595744680851064,0.5582978723404255,0.05446808510638298,0.02553191489361702,0.0,0.029787234042553193,0.002553191489361702,0.022127659574468085,0.9319148936170213,0.020425531914893616,0.023829787234042554,0.02127659574468085,0.002553191489361702,0.6417021276595745,0.35829787234042554,0.21872340425531914,0.01446808510638298,0.05787234042553192,0.0451063829787234,0.12595744680851065,0.000851063829787234
Penafiel,1864.0,0.9431330472103004,0.05686695278969957,0.18401287553648069,0.1968884120171674,0.48605150214592274,0.05740343347639485,0.015021459227467811,0.001609442060085837,0.023068669527896997,0.003218884120171674,0.03272532188841202,0.9297210300429185,0.04130901287553648,0.011802575107296138,0.012339055793991416,0.004828326180257511,0.578862660944206,0.421137339055794,0.27253218884120173,0.016630901287553648,0.048283261802575105,0.03755364806866953,0.20064377682403434,0.0
Resende,1230.0,0.9682926829268292,0.03170731707317073,0.23658536585365852,0.22601626016260162,0.4138211382113821,0.061788617886178863,0.01707317073170732,0.0,0.013008130081300813,0.0024390243902439024,0.02926829268292683,0.9439024390243902,0.034959349593495934,0.012195121951219513,0.0065040650406504065,0.0024390243902439024,0.7560975609756098,0.24390243902439024,0.1910569105691057,0.0886178861788618,0.02926829268292683,0.03983739837398374,0.2097560975609756,0.0008130081300813008
Ribeira de Pena,879.0,0.9840728100113766,0.015927189988623434,0.24800910125142206,0.21160409556313994,0.4402730375426621,0.053469852104664393,0.02957906712172924,0.0022753128555176336,0.004550625711035267,0.0,0.010238907849829351,0.931740614334471,0.02502844141069397,0.017064846416382253,0.023890784982935155,0.0022753128555176336,0.5972696245733788,0.40273037542662116,0.1342434584755404,0.03981797497155859,0.01820250284414107,0.03299203640500569,0.1012514220705347,0.0
Arouca,1678.0,0.9886769964243146,0.01132300357568534,0.1364719904648391,0.16448152562574495,0.5941597139451729,0.07270560190703218,0.013706793802145411,0.0011918951132300357,0.007151370679380214,0.0005959475566150178,0.009535160905840286,0.9570917759237187,0.02264600715137068,0.013110846245530394,0.005363528009535161,0.0017878426698450535,0.35458879618593564,0.6454112038140644,0.1573301549463647,0.008939213349225268,0.017878426698450536,0.028605482717520857,0.11740166865315853,0.0005959475566150178
Oliveira de Azeméis,1056.0,0.9696969696969697,0.030303030303030304,0.09943181818181818,0.21212121212121213,0.5691287878787878,0.08049242424242424,0.014204545454545454,0.000946969696969697,0.010416666666666666,0.001893939393939394,0.011363636363636364,0.9232954545454546,0.043560606060606064,0.01231060606060606,0.017992424242424244,0.002840909090909091,0.5662878787878788,0.4337121212121212,0.21022727272727273,0.003787878787878788,0.029356060606060608,0.048295454545454544,0.12973484848484848,0.000946969696969697
Santa Maria da Feira,976.0,0.9877049180327869,0.012295081967213115,0.13114754098360656,0.22643442622950818,0.555327868852459,0.05327868852459016,0.01331967213114754,0.0,0.007172131147540984,0.0010245901639344263,0.012295081967213115,0.9549180327868853,0.018442622950819672,0.014344262295081968,0.011270491803278689,0.0010245901639344263,0.7663934426229508,0.2336065573770492,0.16086065573770492,0.012295081967213115,0.0430327868852459,0.03483606557377049,0.0942622950819672,0.0010245901639344263
Vale de Cambra,1337.0,0.9955123410620793,0.004487658937920718,0.087509349289454,0.193717277486911,0.6207928197456993,0.06282722513089005,0.014210919970082274,0.0,0.005983545250560957,0.0007479431563201197,0.014210919970082274,0.9655946148092744,0.020942408376963352,0.011219147344801795,0.0014958863126402393,0.0007479431563201197,0.3530291697830965,0.6469708302169035,0.225130890052356,0.005235602094240838,0.025430067314884067,0.031413612565445025,0.17352281226626776,0.0
Águeda,2273.0,0.98152221733392,0.01847778266608007,0.06467223933128025,0.17773867135943686,0.6401231852177739,0.0664320281566212,0.02375714914210295,0.0004399472063352398,0.019797624285085788,0.0,0.007039155301363837,0.9824021117465904,0.011438627364716234,0.0026396832380114386,0.0030796304443466782,0.0004399472063352398,0.9133304003519578,0.08666959964804223,0.4267487901451826,0.01627804663440387,0.061152661680598325,0.08095028596568411,0.29564452265728114,0.0013198416190057193
Albergaria-a-Velha,982.0,0.9348268839103869,0.06517311608961303,0.09470468431771895,0.18737270875763748,0.5855397148676171,0.09572301425661914,0.018329938900203666,0.0010183299389002036,0.008146639511201629,0.003054989816700611,0.006109979633401222,0.9684317718940937,0.008146639511201629,0.017311608961303463,0.002036659877800407,0.004073319755600814,0.7983706720977597,0.20162932790224034,0.3380855397148676,0.04684317718940937,0.026476578411405296,0.07331975560081466,0.28411405295315684,0.0
